Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.99390134053968E-06,1.37565863127936E-06,0.0134214731182759,0,0,0,0.258330708046415,0.000205392717372447,5.72794785505961E-09,-8.13468143023676E-08,0.000124376821334119,4.71754114620172E-10,0.000305396326492831,0,0,0,0,0,0,package://Birobot2/meshes/base_link.STL,1,1,0.501960784313725,1,0,0,0,0,0,0,package://Birobot2/meshes/base_link.STL,,4Nm电机-5;4Nm电机-2;双腿连接件-1,Coordbase,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Lhipyaw_Link,0.0442799756260495,0.0202466396770671,-0.054610579727696,0,0,0,0.440038994494787,0.000691886361443098,-3.18926036339536E-05,7.9122290714126E-05,0.000489817105992609,8.51715820057588E-05,0.000365749264198211,0,0,0,0,0,0,package://Birobot2/meshes/Lhipyaw_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Birobot2/meshes/Lhipyaw_Link.STL,,左脚胯部连接件-1;8Nm电机-3,Lhipyawcoord,Lhipyawaxis,Lhipyaw_Joint,revolute,0,0.0369999999999999,-0.000999999999999945,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Lhiproll_Link,-7.94460344659643E-05,0.0101870947775433,-0.0643986155760032,0,0,0,0.351538870619044,0.00033009601708043,-2.69015433690005E-10,2.34450588623238E-07,0.000500024436537399,3.36497587994521E-07,0.000205265136778919,0,0,0,0,0,0,package://Birobot2/meshes/Lhiproll_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Birobot2/meshes/Lhiproll_Link.STL,,8Nm电机-4;大腿关节连接件-1;推力滚针轴承50x70x5-1,Lhiprollcoord,Lhiprollaxis,Lhiproll_Joint,revolute,0.0424999999999998,0.0270000000000001,-0.0679999999999998,0,-1.5707963267949,0,Lhipyaw_Link,0,0,-1,0,0,0,0,,,,,,,,
Lthigh_Link,-0.0313714075140075,-0.0398928694813062,-0.0418666617621862,0,0,0,0.881225242840738,0.00184566747511136,-0.00110239593138809,8.85130741105728E-07,0.00134920782992085,1.09468000794382E-06,0.00313386862508158,0,0,0,0,0,0,package://Birobot2/meshes/Lthigh_Link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Birobot2/meshes/Lthigh_Link.STL,,12Nm电机-3;大腿外侧-1;M5x40铜柱-2;左大腿内侧-1;M5x40铜柱-3;M5x40铜柱-1;M4螺母-5;5x55xM4塞打螺栓-8;4Nm电机-1,Lthighcoord,Lthighaxis,Lthigh_Joint,revolute,0,-0.000166954779692381,-0.0772201496052748,1.5707963267949,-1.5707963267949,0,Lhiproll_Link,0,0,-1,0,0,0,0,,,,,,,,
Lknee_Link0,5.55111512312578E-17,0.0913612730101381,-0.0200012432084049,0,0,0,0.22379773991973,0.000632927279636257,1.56828304152738E-07,2.92198815384956E-21,1.61549725403257E-05,-1.59879090618596E-19,0.000645485415004075,0,0,0,0,0,0,package://Birobot2/meshes/Lknee_Link0.STL,1,1,1,1,0,0,0,0,0,0,package://Birobot2/meshes/Lknee_Link0.STL,,小腿-1;小腿-2;5x11x4法兰轴承-25;5x11x4法兰轴承-23;5x11x4法兰轴承-19;5x11x4法兰轴承-17;5x35xM4塞打螺栓-1;M4螺母-8;M4x22铜柱-6;M4x22铜柱-4;M4x22铜柱-3;M4x22铜柱-1;5x11x4法兰轴承-42;5x11x4法兰轴承-44;5x11x4法兰轴承-40;5x11x4法兰轴承-39;踝关节支撑柱-1,Lkneecoord0,Lkneeaxis0,Lknee_Joint0,revolute,-0.135596853600906,-0.170697080506769,-0.0531660904406152,3.14159265358979,0,0.803668194526438,Lthigh_Link,0,0,-1,0,0,0,0,,,,,,,,
Lankle_Link0,-0.0231596276959213,0.0212536250305395,-0.0200325883655559,0,0,0,0.18428359031599,0.000117881352090235,-6.79775348356106E-05,4.65230337755936E-20,9.83454687660767E-05,2.52513224568675E-20,0.000200626794325498,0,0,0,0,0,0,package://Birobot2/meshes/Lankle_Link0.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Birobot2/meshes/Lankle_Link0.STL,,脚底-1;脚底-5;柔性材料-2;柔性材料-1;脚部支撑柱-2;脚部支撑柱-1;M5x40铜柱-7;M5x40铜柱-10;5x55xM4塞打螺栓-1;5x55xM4塞打螺栓-4;5x55xM4塞打螺栓-6;5x55xM4塞打螺栓-2;M4螺母-4;M4螺母-3;M4螺母-2;M4螺母-1,Lanklecoord0,Lankleaxis0,Lankle_Joint0,revolute,0,0.18,0,0,0,0,Lknee_Link0,0,0,-1,0,0,0,0,,,,,,,,
Lknee_Link1,-0.00439333540277499,-0.00125394710836006,-0.0113498370878502,0,0,0,0.0636115148670426,1.09281100967918E-05,-1.81849121120284E-06,-1.70837071103934E-06,1.67803507539777E-05,-4.87603680739178E-07,2.29402864022895E-05,0,0,0,0,0,0,package://Birobot2/meshes/Lknee_Link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Birobot2/meshes/Lknee_Link1.STL,,膝关节电机摇臂-1;M4螺母-10;5x15xM4塞打螺栓-4,Lkneecoord1,Lkneeaxis1,Lknee_Joint1,revolute,0,0,-0.0586660904406152,-3.14159265358979,0,2.65249236104811,Lthigh_Link,0,0,-1,0,0,0,0,,,,,,,,
Lknee_Link2,0.101626362064937,-0.0229385974251411,0.000999999999999994,0,0,0,0.0607220251317532,1.30341920335388E-05,5.33635937633788E-05,5.04395202149566E-20,0.000237409431624889,-1.1879301950546E-20,0.000249838377270734,0,0,0,0,0,0,package://Birobot2/meshes/Lknee_Link2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Birobot2/meshes/Lknee_Link2.STL,,膝关节连杆-1;5x11x4法兰轴承-4;5x11x4法兰轴承-1;膝关节连杆支撑柱-2;膝关节连杆支撑柱-1,Lkneecoord2,Lkneeaxis2,Lknee_Joint2,revolute,-0.0384639434646877,-0.0109783902802425,-0.0245,-3.14159265358979,0,-1.610592190996,Lknee_Link1,0,0,-1,0,0,0,0,,,,,,,,
Lknee_Link00,-2.22044604925031E-16,0.0560137350752595,-0.00401510689070324,0,0,0,0.212545654592,0.000632625900754351,1.5682830415276E-07,2.9139717748976E-21,1.58535936584198E-05,-7.84167787566113E-22,0.000645279471593949,0,0,0,0,0,0,package://Birobot2/meshes/Lknee_Link00.STL,1,1,1,1,0,0,0,0,0,0,package://Birobot2/meshes/Lknee_Link00.STL,,小腿-1;小腿-2;M4螺母-8;M4x22铜柱-6;M4x22铜柱-4;M4x22铜柱-3;M4x22铜柱-1;踝关节支撑柱-1;5x11x4法兰轴承-42;5x11x4法兰轴承-44;5x11x4法兰轴承-40;5x11x4法兰轴承-39,Lkneecoord3,Lkneeaxis3,Lknee_Joint00,revolute,0.212650314510188,-0.047998372250716,-0.00300000000000002,-3.14159265358979,0,2.82376894966191,Lknee_Link2,0,0,1,0,0,0,0,,,,,,,,
Lankle_Link34,-0.0204093624761537,-0.0112560684225899,-0.0200816798037087,0,0,0,0.0264310864589234,3.97096074542198E-06,1.05879118406788E-20,-1.47573508041707E-21,3.97096074542198E-06,-9.64137851562625E-24,7.59890052735323E-06,0,0,0,0,0,0,package://Birobot2/meshes/Lankle_Link34.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Birobot2/meshes/Lankle_Link34.STL,,踝关节连杆连接件-1;踝关节连杆连接件-4;膝关节支撑柱-1;5x20xM4塞打螺栓-1;M4螺母-6;5x20xM4塞打螺栓-2;M4螺母-7,Lkneecoord0,Lkneeaxis0,Lankle_Joint34,revolute,-0.135596853600906,-0.170697080506769,-0.0531660904406152,3.14159265358979,0,0.803668194526438,Lthigh_Link,0,0,-1,0,0,0,0,,,,,,,,
Lankle_Link1,0.00497530862523779,0.00135108879007165,-0.0123696487398572,0,0,0,0.0567948015231428,8.35459871318398E-06,-1.69026023786498E-06,1.84867561298549E-06,1.41198821303684E-05,5.02024112537162E-07,1.75229955675705E-05,0,0,0,0,0,0,package://Birobot2/meshes/Lankle_Link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Birobot2/meshes/Lankle_Link1.STL,,脚踝关节电机摇臂-1;M4螺母-9;5x15xM4塞打螺栓-1,Lanklecoord1,Lankleaxis1,Lankle_Joint1,revolute,-0.0622003915600487,-0.0783014130764995,-0.00616609044061522,0,0,2.65249236104811,Lthigh_Link,0,0,-1,0,0,0,0,,,,,,,,
Lankle_Link2,-0.0451240377309678,-0.0380108039753531,0.00100000000000001,0,0,0,0.0400054950366333,1.7569895782706E-05,-2.00745668554044E-05,-1.3629548140825E-20,2.44910946664815E-05,-1.14528951036416E-20,4.17150522558605E-05,0,0,0,0,0,0,package://Birobot2/meshes/Lankle_Link2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Birobot2/meshes/Lankle_Link2.STL,,脚踝电机连杆-1;5x11x4法兰轴承-3;5x11x4法兰轴承-2;5x11x4法兰轴承-8;5x11x4法兰轴承-6,Lanklecoord2,Lankleaxis2,Lankle_Joint2,revolute,0.0386019799331064,0.0104827069616605,-0.026,3.14159265358979,0,-1.05295193254627,Lankle_Link1,0,0,-1,0,0,0,0,,,,,,,,
